name,year,frequency
musique,1,646
skyrock,1,93
guitare,1,23
chansons,1,57
musique,2,645
skyrock,2,91
guitare,2,33
chansons,2,43
musique,3,624
skyrock,3,87
guitare,3,113
chansons,3,59
musique,4,681
skyrock,4,34
guitare,4,111
chansons,4,109
musique,5,713
skyrock,5,45
guitare,5,27
chansons,5,150
musique,6,685
skyrock,6,46
guitare,6,62
chansons,6,121
musique,7,710
skyrock,7,26
guitare,7,100
chansons,7,78
musique,8,703
skyrock,8,11
guitare,8,97
chansons,8,69
musique,9,639
skyrock,9,19
guitare,9,82
chansons,9,96
musique,10,650
skyrock,10,20
guitare,10,67
chansons,10,101
musique,11,613
skyrock,11,25
guitare,11,78
chansons,11,55
musique,12,663
skyrock,12,31
guitare,12,78
chansons,12,31
musique,13,812
skyrock,13,53
guitare,13,48
chansons,13,43
musique,14,812
skyrock,14,49
guitare,14,39
chansons,14,58
musique,15,871
skyrock,15,28
guitare,15,23
chansons,15,54
musique,16,806
skyrock,16,21
guitare,16,8
chansons,16,45
musique,17,740
skyrock,17,13
guitare,17,25
chansons,17,37
musique,18,1016
skyrock,18,41
guitare,18,48
chansons,18,44
musique,19,1068
skyrock,19,53
guitare,19,35
chansons,19,58
musique,20,897
skyrock,20,47
guitare,20,46
chansons,20,58
musique,21,909
skyrock,21,47
guitare,21,48
chansons,21,55
musique,22,763
skyrock,22,28
guitare,22,24
chansons,22,38
musique,23,684
skyrock,23,15
guitare,23,49
chansons,23,37
musique,24,838
skyrock,24,24
guitare,24,69
chansons,24,65
musique,25,767
skyrock,25,61
guitare,25,62
chansons,25,118
musique,26,579
skyrock,26,55
guitare,26,48
chansons,26,125
musique,27,583
skyrock,27,22
guitare,27,124
chansons,27,94
musique,28,572
skyrock,28,32
guitare,28,187
chansons,28,77
musique,29,540
skyrock,29,38
guitare,29,172
chansons,29,99
musique,30,645
skyrock,30,25
guitare,30,167
chansons,30,147
musique,31,832
skyrock,31,24
guitare,31,172
chansons,31,135
musique,32,768
skyrock,32,47
guitare,32,162
chansons,32,104
musique,33,582
skyrock,33,40
guitare,33,149
chansons,33,101
musique,34,601
skyrock,34,30
guitare,34,149
chansons,34,117
musique,35,700
skyrock,35,27
guitare,35,166
chansons,35,105
musique,36,815
skyrock,36,24
guitare,36,151
chansons,36,106
musique,37,827
skyrock,37,31
guitare,37,83
chansons,37,142
musique,38,834
skyrock,38,25
guitare,38,54
chansons,38,156
musique,39,867
skyrock,39,23
guitare,39,60
chansons,39,160
musique,40,891
skyrock,40,19
guitare,40,69
chansons,40,164
musique,41,892
skyrock,41,9
guitare,41,65
chansons,41,172
musique,42,885
skyrock,42,4
guitare,42,47
chansons,42,180
musique,43,901
skyrock,43,18
guitare,43,38
chansons,43,187
musique,44,949
skyrock,44,61
guitare,44,60
chansons,44,189
musique,45,948
skyrock,45,53
guitare,45,71
chansons,45,173
musique,46,910
skyrock,46,16
guitare,46,67
chansons,46,155
musique,47,884
skyrock,47,14
guitare,47,70
chansons,47,156
musique,48,870
skyrock,48,16
guitare,48,69
chansons,48,161
musique,49,869
skyrock,49,29
guitare,49,75
chansons,49,186
musique,50,882
skyrock,50,43
guitare,50,75
chansons,50,211
musique,51,780
skyrock,51,127
guitare,51,59
chansons,51,135
musique,52,785
skyrock,52,148
guitare,52,47
chansons,52,112
musique,53,771
skyrock,53,141
guitare,53,38
chansons,53,135
musique,54,674
skyrock,54,194
guitare,54,28
chansons,54,87
musique,55,703
skyrock,55,171
guitare,55,27
chansons,55,66
musique,56,586
skyrock,56,157
guitare,56,24
chansons,56,57
musique,57,471
skyrock,57,172
guitare,57,20
chansons,57,51
musique,58,465
skyrock,58,185
guitare,58,27
chansons,58,61
musique,59,570
skyrock,59,138
guitare,59,40
chansons,59,84
musique,60,762
skyrock,60,60
guitare,60,43
chansons,60,114
musique,61,853
skyrock,61,38
guitare,61,60
chansons,61,157
musique,62,889
skyrock,62,31
guitare,62,70
chansons,62,186
musique,63,910
skyrock,63,25
guitare,63,53
chansons,63,200
musique,64,911
skyrock,64,25
guitare,64,51
chansons,64,224
musique,65,961
skyrock,65,68
guitare,65,59
chansons,65,240
musique,66,974
skyrock,66,99
guitare,66,57
chansons,66,249
musique,67,962
skyrock,67,49
guitare,67,54
chansons,67,257
musique,68,973
skyrock,68,10
guitare,68,54
chansons,68,273
musique,69,939
skyrock,69,12
guitare,69,58
chansons,69,285
musique,70,933
skyrock,70,34
guitare,70,58
chansons,70,301
musique,71,991
skyrock,71,46
guitare,71,57
chansons,71,353
musique,72,1007
skyrock,72,29
guitare,72,66
chansons,72,397
musique,73,978
skyrock,73,16
guitare,73,80
chansons,73,398
musique,74,989
skyrock,74,14
guitare,74,68
chansons,74,406
musique,75,975
skyrock,75,17
guitare,75,55
chansons,75,419
musique,76,999
skyrock,76,19
guitare,76,56
chansons,76,428
musique,77,1063
skyrock,77,19
guitare,77,48
chansons,77,442
musique,78,1167
skyrock,78,15
guitare,78,38
chansons,78,530
musique,79,1084
skyrock,79,14
guitare,79,37
chansons,79,480
musique,80,847
skyrock,80,21
guitare,80,37
chansons,80,319
musique,81,969
skyrock,81,15
guitare,81,25
chansons,81,400
